name,mean,CIme_L,CIme_H
All,0.581076107231938,0.5797825201363627,0.5823679076050057
AGEGRP_AG50t65,0.5557893137443971,0.5534341999918184,0.5581444274969758
AGEGRP_AG65t75,0.6846078054808704,0.6819775888846211,0.6872380220771196
AGEGRP_AG40t50,0.4253636294164098,0.421912015691469,0.42882797972336145
AGEGRP_AG30t40,0.34981584183565473,0.34551881800093137,0.35411286567037803
AGEGRP_AG75t85,0.7530218249642711,0.7500787248988687,0.7559649250296733
AGEGRP_AG85+,0.7849286524411152,0.7807875926463218,0.7890697122359085
AGEGRP_AG18t30,0.3172366278341476,0.3100338218714769,0.3244394337968182
AGEGRP_AG0t18,0.182189913675602,0.17295168862638194,0.19157958503710434
AGEGRP_,0.0,0.0,0.0
CS_SEXO_M,0.5793872560472252,0.5776801707085338,0.5810943413859165
CS_SEXO_F,0.5833602253058351,0.581382093718175,0.5853383568934952
CS_SEXO_I,0.5333333333333333,0.4,0.6666666666666666
RACA_Branca,0.5863518717777214,0.5843826727099752,0.5883169164170547
RACA_nan,0.5036547360468411,0.5006421758428558,0.5066672962508263
RACA_Preta,0.6321230869423641,0.6260989905568218,0.6381471833279062
RACA_Parda,0.6121976635770306,0.6099599627049854,0.6144353644490759
RACA_Amarela,0.5714812765172478,0.5583840619811843,0.5845784910533112
RACA_Indigena,0.6484375,0.6145833333333334,0.6822916666666666
BDIGRP_BDI1,0.5200202573975675,0.5172469232067782,0.5227935915883568
BDIGRP_BDI2,0.5794707769230062,0.5765388185770352,0.5824027352689773
BDIGRP_BDI3,0.6347301380866771,0.6318134873579926,0.6376467888153616
BDIGRP_BDI0,0.5649035505141765,0.5619140421747727,0.5678930588535803
BDIGRP_BDI4,0.6329470441543201,0.6299936433426239,0.6359004449660164
BDIGRP_,0.4782141321484879,0.46990110362620036,0.4865271606707754
VACINA_False,0.5781441210808378,0.5767716733212633,0.5795165688404122
VACINA_True,0.6045975529153838,0.6007447648832073,0.6084503409475601
COMOR_YES,0.6274121118320233,0.6258999753483632,0.6289217069098284
COMOR_NO,0.47137502181093976,0.46897431423396974,0.4737757293879098
