name,mean,CIme_L,CIme_H
All,0.2300035624843809,0.229227259917797,0.2307798650509648
AGEGRP_AG50t65,0.18992849193758435,0.18860547439206307,0.19125150948310563
AGEGRP_AG75t85,0.4395914322738014,0.43690830093757144,0.44227456361003126
AGEGRP_AG30t40,0.07395893852851743,0.07255551447564003,0.07536990787200169
AGEGRP_AG65t75,0.32521401100037217,0.32312559447500105,0.32730242752574334
AGEGRP_AG85+,0.5812976596460928,0.5775946606560016,0.585000658636184
AGEGRP_AG18t30,0.05771442577823029,0.05573467579237136,0.05971303052585931
AGEGRP_AG40t50,0.110874810208199,0.10947607063374862,0.1122787495580191
AGEGRP_AG0t18,0.0450464160706133,0.04215492314716177,0.0479886369400903
AGEGRP_,0.0,0.0,0.0
CS_SEXO_M,0.22958985210400334,0.22854232943861502,0.23063737476939167
CS_SEXO_F,0.23050611561279974,0.2293502235117889,0.23166397351670343
CS_SEXO_I,0.23391812865497075,0.1695906432748538,0.2982456140350877
RACA_nan,0.1883169029003286,0.1866172029343226,0.19002152953290274
RACA_Branca,0.2248352065946594,0.22365341289909027,0.22601908826495565
RACA_Parda,0.2497648287797602,0.24839797726764823,0.2511342788688914
RACA_Preta,0.29920173862164084,0.29510594725623773,0.30331842688176536
RACA_Amarela,0.21565836298932384,0.20809608540925267,0.22330960854092527
RACA_Indigena,0.30007704160246534,0.2823574730354391,0.3177966101694915
BDIGRP_BDI1,0.2315273089345994,0.2297059037812371,0.23334871408796173
BDIGRP_BDI2,0.2116790273122727,0.2099898381230835,0.21337267346502176
BDIGRP_BDI0,0.19236603290007062,0.19075328434064737,0.19397878145949385
BDIGRP_BDI3,0.24891450648613117,0.247121374049215,0.2507076389230473
BDIGRP_BDI4,0.27546850845710874,0.2736062268909842,0.2773307900232333
BDIGRP_,0.15234865611655363,0.14778531357280417,0.15691199866030311
VACINA_False,0.2269967705937549,0.22618177225631203,0.22781275561199368
VACINA_True,0.2565193557649638,0.2539960148616078,0.2590426966683199
COMOR_NO,0.1696176020754639,0.16858616895425674,0.17065100358049018
COMOR_YES,0.2794526068069536,0.27833557652785723,0.28056963708605004
