name,mean,CIme_L,CIme_H
All,0.13815939712263073,0.1375682510247678,0.13875054322049368
AGEGRP_AG50t65,0.1451026036790567,0.14400445332861012,0.1462007540295033
AGEGRP_AG75t85,0.16749162351507768,0.16565133516093003,0.16933825769113617
AGEGRP_AG30t40,0.09930952931102442,0.09778723172903103,0.100838622864366
AGEGRP_AG65t75,0.17318254283723772,0.17165241251971433,0.17471694726179332
AGEGRP_AG85+,0.13140263669764427,0.12905071256944534,0.13376727392923887
AGEGRP_AG18t30,0.08296014524077117,0.08071237140140054,0.08520791908014179
AGEGRP_AG40t50,0.11759793710368624,0.1162489791049159,0.1189514833949694
AGEGRP_AG0t18,0.06003242418462712,0.056837688346366586,0.0632748426473393
AGEGRP_,0.0,0.0,0.0
CS_SEXO_M,0.14443554512186701,0.14362632051370572,0.14524615065939378
CS_SEXO_F,0.13041887752311143,0.1295573272796893,0.1312821371916197
CS_SEXO_I,0.0446927374301676,0.01675977653631285,0.0782122905027933
RACA_nan,0.12722464687291724,0.12587018682948853,0.12857910691634597
RACA_Branca,0.15593133712835516,0.15498845631906383,0.15687598033168257
RACA_Parda,0.12133361950471042,0.12036779110707224,0.1223017311846125
RACA_Preta,0.13962603380079108,0.13674937072995325,0.14252067601582163
RACA_Amarela,0.12827671785326508,0.12253761439429192,0.13409337676438654
RACA_Indigena,0.0942079553384508,0.0837404047452896,0.10502442428471738
BDIGRP_BDI1,0.15390305545852426,0.1524688187067212,0.15533729221032733
BDIGRP_BDI2,0.1358995590302517,0.13458242668155823,0.1372205426431226
BDIGRP_BDI0,0.15290859748555394,0.15155352890136062,0.15426366606974726
BDIGRP_BDI3,0.13330052010262533,0.13199057459325805,0.13461434119042268
BDIGRP_BDI4,0.10678929603850067,0.10557403788698502,0.10800859159251304
BDIGRP_,0.19807963472772444,0.19354730410259854,0.20261196535285034
VACINA_False,0.13593941424563216,0.13531960895145484,0.13656007209179596
VACINA_True,0.15725368844044232,0.15532514005807643,0.15918956970639134
COMOR_NO,0.0887892038871172,0.08804306105098524,0.08953714033583603
COMOR_YES,0.1747729077517967,0.17391495197442894,0.17563219369316044
