name,mean,CIme_L,CIme_H
All,0.22438644401134997,0.22375733808815776,0.22501614231300093
AGEGRP_AG50t65,0.22352700788438076,0.22238354673357158,0.22467243374507104
AGEGRP_AG75t85,0.2627856060180767,0.2609189917476001,0.2646522202885533
AGEGRP_AG65t75,0.2530027776890904,0.2514798378084991,0.2545257175696817
AGEGRP_AG30t40,0.18149909609233764,0.1797190933110833,0.18328466138228341
AGEGRP_AG85+,0.2595824390978576,0.2569467976956964,0.2622180805000188
AGEGRP_AG18t30,0.1618480355926554,0.15910902424532267,0.164601539063519
AGEGRP_AG40t50,0.1952664032788096,0.19377469261160138,0.19676180629915446
AGEGRP_AG0t18,0.2030703754369965,0.19820641434868522,0.2079343365253078
AGEGRP_,0.3333333333333333,0.0,1.0
CS_SEXO_M,0.23009615425507032,0.22924560799173269,0.23094670051840796
CS_SEXO_F,0.21719989241369345,0.21626587199102912,0.2181352509744991
CS_SEXO_I,0.22510822510822512,0.17316017316017315,0.2813852813852814
RACA_nan,0.24703836926573575,0.2455166786998935,0.248560059831578
RACA_Branca,0.21153632371741427,0.2105927963981991,0.21247985103662942
RACA_Preta,0.23200132556405512,0.22893595868658695,0.2350805004004308
RACA_Parda,0.22778565332994802,0.226694242853818,0.22887706380607806
RACA_Amarela,0.2260968729367985,0.21973470980133245,0.23245903607226456
RACA_Indigena,0.14803804994054698,0.1361474435196195,0.16022592152199763
BDIGRP_BDI1,0.2632552591103414,0.2617535212120478,0.264756997008635
BDIGRP_BDI2,0.22065078083495163,0.219243086841813,0.22205847482809024
BDIGRP_BDI0,0.19183886609474077,0.19050801939574785,0.1931726967549422
BDIGRP_BDI3,0.21382193337659924,0.21242036178828347,0.2152265518596722
BDIGRP_BDI4,0.23433563428741008,0.23287654294272758,0.23579472563209258
BDIGRP_,0.21284355179704018,0.20872093023255814,0.21696617336152219
VACINA_False,0.2238037256394137,0.22313933097309996,0.22446812030572744
VACINA_True,0.2293625678119349,0.22740732368896927,0.2313234629294756
COMOR_NO,0.1730828557529159,0.17217960583300704,0.1739861056728248
COMOR_YES,0.25850348858541167,0.2576513150497397,0.2593556621210836
